24 апреля 2022 года	Выпуск программы «Воскресное Время» в 21:00 от 24.04.2022	https://www.1tv.ru/news/2022-04-24/427233-vypusk_programmy_voskresnoe_vremya_v_21_00_ot_24_04_2022
24 апреля 2022 года	Президент поддержал идею начинать каждую учебную неделю в школах с церемонии поднятия флага	https://www.1tv.ru/news/2022-04-24/427253-prezident_podderzhal_ideyu_nachinat_kazhduyu_uchebnuyu_nedelyu_v_shkolah_s_tseremonii_podnyatiya_flaga
24 апреля 2022 года	Министр финансов США прокомментировала планы Европы запретить импорт российских энергоносителей	https://www.1tv.ru/news/2022-04-24/427252-ministr_finansov_ssha_prokommentirovala_plany_evropy_zapretit_import_rossiyskih_energonositeley
24 апреля 2022 года	Правительство принимает меры, которые позволят снизить цены и расширить ассортимент	https://www.1tv.ru/news/2022-04-24/427251-pravitelstvo_prinimaet_mery_kotorye_pozvolyat_snizit_tseny_i_rasshirit_assortiment
24 апреля 2022 года	Во Франции около двух часов назад завершился второй тур выборов президента	https://www.1tv.ru/news/2022-04-24/427250-vo_frantsii_okolo_dvuh_chasov_nazad_zavershilsya_vtoroy_tur_vyborov_prezidenta
24 апреля 2022 года	Уже дважды за последние десять дней Джо Байден попытался поздороваться с пустотой	https://www.1tv.ru/news/2022-04-24/427249-uzhe_dvazhdy_za_poslednie_desyat_dney_dzho_bayden_popytalsya_pozdorovatsya_s_pustotoy
24 апреля 2022 года	Соединенные Штаты снова пытаются обратить Китай в антироссийский лагерь	https://www.1tv.ru/news/2022-04-24/427248-soedinennye_shtaty_snova_pytayutsya_obratit_kitay_v_antirossiyskiy_lager
24 апреля 2022 года	Двое сдавшихся в плен британцев призвали Бориса Джонсона принять участие в их судьбе	https://www.1tv.ru/news/2022-04-24/427247-dvoe_sdavshihsya_v_plen_britantsev_prizvali_borisa_dzhonsona_prinyat_uchastie_v_ih_sudbe
24 апреля 2022 года	На Украине, в Польше, Латвии воюют с памятниками павшим героям, которые не могут ответить	https://www.1tv.ru/news/2022-04-24/427246-na_ukraine_v_polshe_latvii_voyuyut_s_pamyatnikami_pavshim_geroyam_kotorye_ne_mogut_otvetit
24 апреля 2022 года	Украинская бабушка со знаменем Победы стала символом крепости духа против госамнезии	https://www.1tv.ru/news/2022-04-24/427245-ukrainskaya_babushka_so_znamenem_pobedy_stala_simvolom_kreposti_duha_protiv_gosamnezii
24 апреля 2022 года	Все что нужно знать о тех, кого растили в стране лжи — смотрите в следующем эпизоде	https://www.1tv.ru/news/2022-04-24/427244-vse_chto_nuzhno_znat_o_teh_kogo_rastili_v_strane_lzhi_smotrite_v_sleduyuschem_epizode
24 апреля 2022 года	Вранье и передергивание фактов стали основой информационной повестки Киева	https://www.1tv.ru/news/2022-04-24/427243-vranie_i_peredergivanie_faktov_stali_osnovoy_informatsionnoy_povestki_kieva
24 апреля 2022 года	Администрация Владимира Зеленского держит в советниках профессионального манипулятора	https://www.1tv.ru/news/2022-04-24/427242-administratsiya_vladimira_zelenskogo_derzhit_v_sovetnikah_professionalnogo_manipulyatora
24 апреля 2022 года	Ракета «Сармат» стала средством сдерживания Запада, который накачивает оружием другие страны	https://www.1tv.ru/news/2022-04-24/427241-raketa_sarmat_stala_sredstvom_sderzhivaniya_zapada_kotoryy_nakachivaet_oruzhiem_drugie_strany
24 апреля 2022 года	Западные «друзья Киева» соревнуются, кто больше отправит на Украину военных грузов	https://www.1tv.ru/news/2022-04-24/427240-zapadnye_druzya_kieva_sorevnuyutsya_kto_bolshe_otpravit_na_ukrainu_voennyh_gruzov
24 апреля 2022 года	Последняя информация о ходе спецоперации по защите Донбасса от Минобороны РФ	https://www.1tv.ru/news/2022-04-24/427238-poslednyaya_informatsiya_o_hode_spetsoperatsii_po_zaschite_donbassa_ot_minoborony_rf
24 апреля 2022 года	В районе Одессы уничтожен крупный терминал с иностранным оружием, в том числе из США	https://www.1tv.ru/news/2022-04-24/427239-v_rayone_odessy_unichtozhen_krupnyy_terminal_s_inostrannym_oruzhiem_v_tom_chisle_iz_ssha
24 апреля 2022 года	Выпуск новостей в 18:00 от 24.04.2022	https://www.1tv.ru/news/2022-04-24/427220-vypusk_novostey_v_18_00_ot_24_04_2022
